"wave","province","province_name","total_expected","total_observed","total_excess","total_excess0","se_excess","total_excess_low","total_excess_high","total_excess0_low","total_excess0_high"
"wave 3","P0018","Qazvin",2515.9717948717725,4001,1485.0282051282275,1506.1025641025853,277.5869285664917,937.3056022159235,2032.7508080405314,958.3799611902814,2053.8251670148893
"wave 3","P0019","Qom",2696.3628205129066,3675,978.6371794870934,1127.8551282050626,225.94767232020752,532.8069386890063,1424.4674202851804,682.0248874069755,1573.6853690031496
"wave 3","P0020","Kurdistan",2955.8051282053575,5327,2371.1948717946425,2376.88589743568,306.3233782842598,1766.770740755072,2975.619002834213,1772.4617663961094,2981.3100284752504
"wave 3","P0021","Kerman",6350.4153846157715,8493,2142.5846153842285,2152.282692307337,489.03972876962564,1177.6324306668375,3107.5368001016195,1187.3305075899461,3117.234877024728
"wave 3","P0022","Kermanshah",4913.071794871956,7094,2180.9282051280443,2184.0525641024096,312.73691779037387,1563.8491534468187,2798.00725680927,1566.973512421184,2801.1316157836354
"wave 3","P0023","Kohgiluyeh and Boyer Ahmad",1316.9833333333631,1683,366.01666666663687,378.6583333333074,143.64510931027567,82.58230765934451,649.4510256739293,95.22397432601502,662.0926923405998
"wave 3","P0024","Golestan",3871.480769230988,5027,1155.5192307690122,1160.7153846151882,335.7288147322208,493.0735557243837,1817.9649058136406,498.2697095705597,1823.1610596598166
"wave 3","P0025","Gilan",7226.824358974223,8480,1253.1756410257767,1278.6102564103853,526.8263372756475,213.66454363541766,2292.686738416136,239.09915902002626,2318.121353800744
"wave 3","P0026","Lorestan",3955.073076922852,5318,1362.9269230771479,1398.330769230969,318.23246055066215,735.0043024979727,1990.849543656323,770.4081486517939,2026.2533898101442
"wave 3","P0027","Mazandaran",7445.842307692588,9292,1846.1576923074117,1849.0346153843593,565.1221668521378,731.0829091028738,2961.23247551195,733.9598321798214,2964.1093985888974
"wave 3","P0028","Markazi",3400.7820512822836,5146,1745.2179487177164,1766.8307692305607,278.47064596777204,1195.7516325917975,2294.684264843635,1217.3644531046418,2316.2970853564793
"wave 3","P0029","Hormozgan",2885.4269230770215,3395,509.57307692297854,553.5942307691441,269.5583378254394,-22.307855630004383,1041.4540094759614,21.713298216161206,1085.4751633221272
"wave 3","P0030","Hamedan",4777.875641025819,6339,1561.1243589741807,1600.73461538445,298.08862788026585,972.9486836846737,2149.300034263688,1012.5589400949431,2188.910290673957
"wave 3","P0031","Yazd",2264.4269230767572,3733,1468.5730769232428,1586.2653846155272,220.55803557777742,1033.3774358181613,1903.7687180283242,1151.0697435104457,2021.4610257206086
"wave 3","P9999","Iran",169560.86666667418,239552,69991.13333332582,69991.13333332582,9653.082415684456,50944.08578627531,89038.18088037634,50944.08578627531,89038.18088037634
"wave 4","P0001","East Azerbaijan",8890.742307692417,12407,3516.257692307583,3638.3660256409794,910.5364870118266,1719.6262108173376,5312.889173797828,1841.7345441507339,5434.997507131225
"wave 4","P0002","West Azerbaijan",6037.042307692762,8018,1980.9576923072382,1992.9474358969956,610.5370997725236,776.2721143916554,3185.6432702228212,788.2618579814127,3197.6330138125786
"wave 4","P0003","Ardabil",2749.315384615478,3639,889.6846153845222,899.56794871789225,286.48455181419735,324.40560450252883,1454.9636262665156,334.2889378358989,1464.8469595998856
"wave 4","P0004","Isfahan",9765.1769230778,12967,3201.823076922199,3368.886538460938,1006.3123638119009,1216.210749654919,5187.435404189479,1383.274211193658,5354.498865728218
"wave 4","P0005","Alborz",4515.5461538465515,7188,2672.4538461534485,2676.7987179483225,585.3732681766063,1517.420459759057,3827.48723254784,1521.765331553931,3831.832104342714
"wave 4","P0006","Ilam",998.861538461595,1171,172.13846153840495,236.33717948714593,168.28375133275355,-159.91180748477814,504.18873056158805,-95.71308953603716,568.387448510329
"wave 4","P0007","Bushehr",1674.711538461599,2351,676.288461538401,680.83717948712,222.68397725022723,236.89800365110557,1115.6789194256962,241.44672159982463,1120.2276373744153
"wave 4","P0008","Tehran",23575.500000001695,33451,9875.499999998305,9910.033333331685,2447.3869214897854,5046.421260972515,14704.578739024095,5080.954594305895,14739.112072357475
"wave 4","P0009","Chahaar Mahal and Bakhtiari",1549.5091575091524,2135,585.4908424908476,612.0815018315086,275.6549532303027,40.100766327127985,1130.8809186545673,66.69142566778896,1157.4715779952282
"wave 4","P0010","South Khorasan",1558.1730769231344,1839,280.82692307686557,363.6102564102239,242.61111722213104,-197.8829113760831,759.5367575298142,-115.09957804272477,842.3200908631725
"wave 4","P0011","Razavi Khorasan",12447.892307693213,15020,2572.1076923067867,3005.9102564096665,1353.5647096184334,-98.68804649493995,5242.903431108513,335.1145176079399,5676.705995211393
