"wave","province","province_name","age_group","total_expected","total_observed","total_excess","total_excess0","se_excess","total_excess_low","total_excess_high","total_excess0_low","total_excess0_high"
"wave 1","P0021","Kerman","70 to 74",465.2153846153906,497,31.784615384609424,66.7615384615292,31.06265091281897,-29.506873012150898,93.07610378136974,5.470050064768877,128.0530268582895
"wave 1","P0021","Kerman","75 to 79",472.3846153845727,470,-2.384615384572726,58.95256410258003,31.790123189427106,-65.11152082689794,60.34229005775249,-3.7743413397451917,121.67946954490525
"wave 1","P0021","Kerman","80",2262.411538461749,2014,-248.41153846174893,55.59615384609879,94.63360504736646,-435.1385026858684,-61.68457423762945,-131.1308103780207,242.32311807021827
"wave 1","P0022","Kermanshah","0 to 4",195.5730769230841,118,-77.5730769230841,3.626923076922049,23.905018909320404,-124.74143332695746,-30.404720519210734,-43.54143332695132,50.795279480795415
"wave 1","P0022","Kermanshah","10 to 14",44.280769230776684,22,-22.280769230776684,1.2025641025625191,9.651364828230028,-41.32442770804597,-3.2371107535074017,-17.841094374706763,20.2462225798318
"wave 1","P0022","Kermanshah","15 to 19",63.653846153862325,64,0.34615384613767475,11.613461538453734,11.990998710220447,-23.31396970145517,24.00627739373052,-12.046662009139112,35.27358508604658
"wave 1","P0022","Kermanshah","20 to 24",89.28846153848991,81,-8.288461538489912,13.937179487165025,13.69660867337683,-35.31402139606159,18.73709831908177,-13.088380370406657,40.962739344736704
"wave 1","P0022","Kermanshah","25 to 29",95.96538461537227,122,26.034615384627728,34.934615384618155,16.055738606924326,-5.645878314691661,57.71510908394711,3.2541216852987667,66.61510908393754
"wave 1","P0022","Kermanshah","30 to 34",132.1961538461342,146,13.803846153865805,28.587179487191122,19.170756858574666,-24.023067745151756,51.63076005288337,-9.23973441182644,66.41409338620869
"wave 1","P0022","Kermanshah","35 to 39",132.76153846153971,143,10.238461538460285,31.635256410256886,15.404623525182116,-20.157279852063425,40.634202928983996,1.239515019733176,62.0309978007806
"wave 1","P0022","Kermanshah","40 to 44",134.96538461537216,152,17.03461538462784,42.279487179494005,17.327521926654256,-17.155306528117208,51.22453729737289,8.089565266748956,76.46940909223906
"wave 1","P0022","Kermanshah","45 to 49",163.42307692307065,201,37.57692307692935,47.050000000004395,19.73966220452968,-1.3725304117813408,76.52637656564004,8.100546511293707,85.99945348871509
"wave 1","P0022","Kermanshah","5 to 9",32.43076923078128,22,-10.43076923078128,5.628205128202086,13.763481822245014,-37.58828031297358,16.726741851411017,-21.52930595399021,32.785716210394384
"wave 1","P0022","Kermanshah","50 to 54",194.69230769234142,233,38.307692307658584,57.28461538459531,19.960883195310192,-1.0782649368840964,77.69364955220126,17.898658140052632,96.670572629138
"wave 1","P0022","Kermanshah","55 to 59",261.19230769227784,293,31.807692307722164,41.09294871796935,23.207217438534315,-13.983792210040612,77.59917682548493,-4.698535799793426,86.88443323573213
"wave 1","P0022","Kermanshah","60 to 64",398.77307692308887,376,-22.773076923088865,32.84615384614062,24.143534901842585,-70.41206283727496,24.86590899109723,-14.79283206804547,80.48513976032672
"wave 1","P0022","Kermanshah","65 to 69",436.850000000024,436,-0.8500000000240107,48.099999999992406,28.25687034002674,-56.60524270082599,54.90524270077797,-7.655242700809573,103.85524270079438
"wave 1","P0022","Kermanshah","70 to 74",488.0384615384712,523,34.96153846152879,62.87179487178537,28.039330573095953,-20.364464116204047,90.28754103926163,7.545792294052532,118.1977974495182
"wave 1","P0022","Kermanshah","75 to 79",439.9615384614906,500,60.03846153850941,74.88846153849568,32.29116947899759,-3.6770869185295254,123.75400999554834,11.172913081456741,138.60400999553462
"wave 1","P0022","Kermanshah","80",1676.4115384616543,1674,-2.411538461654345,87.29807692301802,66.28549415524579,-133.2032280470772,128.3801511237685,-43.49361266240484,218.08976650844087
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","0 to 4",54.3461538461836,46,-8.346153846183597,10.107692307679542,11.436821592893299,-30.91279891211892,14.220491219751725,-12.45895275825578,32.67433737361486
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","10 to 14",7.534615384615606,9,1.4653846153843944,6.780769230769039,5.307507249327209,-9.007160689936365,11.937929920705153,-3.6917760745517203,17.253314536089796
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","15 to 19",33.85384615384993,18,-15.85384615384993,3.5410256410253,8.296185799135698,-32.223523586475324,0.5158312787754653,-12.828651791600095,19.910703073650694
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","20 to 24",24.74999999999949,36,11.250000000000512,18.91666666666754,8.446224420998092,-5.415727195948524,27.915727195949547,2.250939470718503,35.58239386261657
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","25 to 29",56.007692307682575,45,-11.007692307682575,10.316666666671253,11.44246271241412,-33.58546818832606,11.570083572960915,-12.261109213972237,32.89444254731474
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","30 to 34",47.28846153848309,37,-10.28846153848309,6.598717948711979,10.560730374276512,-31.1264410468309,10.54951796986472,-14.239261559635832,27.43669745705979
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","35 to 39",36.284615384619784,41,4.715384615380216,14.017948717946666,10.762594928994169,-16.520905360671062,25.951674591431495,-7.218341258104612,35.25423869399795
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","40 to 44",49.519230769215824,42,-7.519230769215824,12.09230769231391,8.269075750445422,-23.835415818354726,8.796954279923078,-4.2238773568249925,28.40849274145281
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","45 to 49",45.6346153846128,52,6.3653846153872,23.12179487179604,9.807847169230286,-12.987038095000294,25.717807325774693,3.7693721614085476,42.474217582183535
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","5 to 9",17.880769230765402,6,-11.880769230765402,2.133333333334086,5.465135223780624,-22.664339283920203,-1.0971991776106016,-8.650236719820715,12.916903386488887
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","50 to 54",36.72307692307237,49,12.27692307692763,21.443589743593137,8.701678621285861,-4.89285537326835,29.44670152712361,4.273811293397156,38.613368193789114
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","55 to 59",60.85769230770872,68,7.142307692291283,20.80769230768314,10.651336023493048,-13.874450990867537,28.159066375450102,-0.20906637547567897,41.82445099084196
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","60 to 64",104.58461538462325,81,-23.58461538462325,10.180128205122173,12.281873707634274,-47.818680981751214,0.6494502125047141,-14.053937392005789,34.41419380225014
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","65 to 69",116.28846153845109,95,-21.288461538451088,11.034615384618178,11.776607408462432,-44.52555737920244,1.9486343023002597,-12.20248045613317,34.27171122536953
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","70 to 74",85.17307692309674,87,1.826923076903256,25.08974358973626,12.492687586152988,-22.823111409208792,26.476957563015304,0.43970910362421023,49.73977807584831
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","75 to 79",79.59615384614199,109,29.403846153858012,40.79615384616284,12.999273735073864,3.754237640542449,55.053454667173575,15.146545332847275,66.44576235947841
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad","80",474.1269230769026,453,-21.126923076902585,47.86025641027118,32.44144008616984,-85.13897904071298,42.88513288690781,-16.15179955353922,111.87231237408157
"wave 1","P0024","Golestan","0 to 4",165.3884615383978,137,-28.38846153839779,16.37307692309321,19.87751850545241,-67.60992715808018,10.8330040812846,-22.848388696589183,55.5945425427756
"wave 1","P0024","Golestan","10 to 14",30.173076923074433,24,-6.173076923074433,6.737179487179986,7.391702903517156,-20.758067560697597,8.411913714548731,-7.847811150443178,21.32217012480315
"wave 1","P0024","Golestan","15 to 19",46.173076923085944,58,11.826923076914056,21.907692307688137,11.473850433103067,-10.812785705844156,34.46663185967227,-0.7320164750700755,44.54740109044635
"wave 1","P0024","Golestan","20 to 24",55.60000000001608,51,-4.600000000016081,10.099999999994196,12.727963423540869,-29.714270661519922,20.51427066148776,-15.014270661509645,35.214270661498034
"wave 1","P0024","Golestan","25 to 29",66.26923076922901,92,25.73076923077099,33.73076923077181,11.956676428610363,2.1383689348400488,49.32316952670193,10.138368934840873,57.323169526702756
"wave 1","P0024","Golestan","30 to 34",90.27692307691746,108,17.723076923082544,27.835256410259063,13.798380488786798,-9.503294708758638,44.94944855492373,0.608884778417881,55.061628042100246
"wave 1","P0024","Golestan","35 to 39",106.3038461538734,154,47.696153846126606,55.96794871792832,15.092192528301231,17.916887877287216,77.47541981496599,26.188682749088933,85.7472146867677
"wave 1","P0024","Golestan","40 to 44",130.93076923077763,146,15.069230769222372,31.9192307692241,15.119029189771426,-14.762988147184974,44.901449685629714,2.0870118528167545,61.75144968563144
"wave 1","P0024","Golestan","45 to 49",131.30769230771423,220,88.69230769228577,102.41666666665334,16.736508660750452,55.668547767168285,121.71606761740324,69.39290674153585,135.44042659177083
"wave 1","P0024","Golestan","5 to 9",32.580769230774834,24,-8.580769230774834,4.569230769228135,8.7518074799647,-25.849459791488368,8.6879213299387,-12.699459791485399,21.83792132994167
"wave 1","P0024","Golestan","50 to 54",184.8038461538606,266,81.1961538461394,96.29999999999086,21.171233859692002,39.42198466468973,122.97032302758906,54.525830818541195,138.07416918144054
"wave 1","P0024","Golestan","55 to 59",297.44999999999334,340,42.55000000000666,88.00000000000225,27.113829855603132,-10.949844319481862,96.04984431949518,34.50015568051372,141.49984431949076
"wave 1","P0024","Golestan","60 to 64",360.3461538461966,532,171.65384615380339,187.65448717945674,30.101777559708033,112.25831178035699,231.04938052724978,128.25895280601034,247.05002155290313
"wave 1","P0024","Golestan","65 to 69",428.06153846161305,568,139.93846153838695,174.67179487174985,28.09921049372509,84.49430647358079,195.3826166031931,119.2276398069437,230.115949936556
"wave 1","P0024","Golestan","70 to 74",466.74615384612616,577,110.25384615387384,151.68717948719313,29.02291467097461,52.98707768685597,167.5206146208917,94.42041102017527,208.953947954211
"wave 1","P0024","Golestan","75 to 79",322.03461538465444,496,173.96538461534556,188.6166666666336,33.4521692935689,107.95900119823976,239.97176803245134,122.6102832495278,254.62305008373937
"wave 1","P0024","Golestan","80",1099.5500000001107,1320,220.44999999988931,270.33333333325686,58.72778414561509,104.57085914256601,336.3291408572126,154.45419247593355,386.21247419058017
"wave 1","P0025","Gilan","0 to 4",64.74615384612662,76,11.253846153873383,28.82820512822127,16.931316463357,-22.154300158824753,44.66199246657152,-4.579941184476866,62.23635144091941
"wave 1","P0025","Gilan","10 to 14",16.638461538454322,22,5.361538461545678,10.511538461543466,6.882352330060256,-8.218423505133199,18.941500428224554,-3.06842350513541,24.091500428222343
"wave 1","P0025","Gilan","15 to 19",47.84230769228532,45,-2.842307692285317,11.692307692319758,10.783172002688117,-24.119199466202836,18.434584081632202,-9.584584081597761,32.96919946623728
"wave 1","P0025","Gilan","20 to 24",62.861538461532746,60,-2.8615384615327457,13.726923076926994,11.605311165348978,-25.760639913889374,20.037562990823883,-9.172178375429635,36.626024529283626
"wave 1","P0025","Gilan","25 to 29",77.2269230769202,80,2.773076923079799,20.72692307692546,13.760997426805064,-24.379532056754652,29.92568590291425,-6.425685902908992,47.87953205675991
"wave 1","P0025","Gilan","30 to 34",94.39230769232256,107,12.60769230767744,28.447435897428136,13.249704376216519,-13.536055188781187,38.75143980413607,2.3036884009695093,54.591183393886766
"wave 1","P0025","Gilan","35 to 39",149.84615384616427,174,24.15384615383573,38.33846153845286,15.475836282169574,-6.382409189629353,54.690101497300816,7.802206194987779,68.87471688191795
"wave 1","P0025","Gilan","40 to 44",155.073076923101,217,61.92692307689899,78.50448717947074,17.836669856620148,26.73237234064098,97.121473813157,43.309936443212735,113.69903791572875
"wave 1","P0025","Gilan","45 to 49",216.09230769231263,290,73.90769230768737,89.8499999999968,21.292394716647387,31.89445372810215,115.92093088727259,47.83676142041158,131.863238579582
"wave 1","P0025","Gilan","5 to 9",21.188461538461198,17,-4.188461538461198,7.434615384615171,6.601615430611136,-17.214485514998117,8.837562438075722,-5.591408591921748,20.46063936115209
"wave 1","P0025","Gilan","50 to 54",287.61153846152837,440,152.38846153847163,177.90000000000933,23.075931874047658,106.85602405680953,197.92089902013373,132.36756251834723,223.43243748167143
"wave 1","P0025","Gilan","55 to 59",447.98076923077383,632,184.01923076922617,212.84999999999673,30.66146613918282,123.51934293377305,244.5191186046793,152.3501121645436,273.34988783544986
"wave 1","P0025","Gilan","60 to 64",576.2807692307721,850,273.7192307692279,309.6583333333326,36.08179235541083,202.5241880894246,344.91427344903127,238.4632906535293,380.85337601313597
"wave 1","P0025","Gilan","65 to 69",706.2269230769541,988,281.7730769230459,318.0955128204905,40.35686917167645,202.14263631745672,361.40351752863506,238.46507221490134,397.7259534260797
