"province","province_name","year","week_num","deaths","expected_deaths_mean","expected_deaths_low","expected_deaths_high","se","excess_deaths_mean","excess_deaths_low","excess_deaths_high"
"P0025","Gilan",1399,27,289,306.64487179487196,215.52314471104617,397.7665988786978,46.180676518334536,-17.64487179487196,73.47685528895383,-108.76659887869778
"P0025","Gilan",1399,28,402,325.14487179488015,234.02314471105277,416.26659887870755,46.180676518335346,76.85512820511985,167.97685528894723,-14.266598878707555
"P0025","Gilan",1399,29,320,305.6448717948506,214.5231447110296,396.7665988786716,46.18067651833209,14.355128205149413,105.4768552889704,-76.76659887867157
"P0025","Gilan",1399,30,399,284.39487179487196,193.27314471104597,375.51659887869795,46.18067651833462,114.60512820512804,205.72685528895403,23.48340112130205
"P0025","Gilan",1399,31,328,331.89487179487196,240.77314471104597,423.01659887869795,46.18067651833462,-3.8948717948719604,87.22685528895403,-95.01659887869795
"P0025","Gilan",1399,32,403,346.6448717948733,255.52314471104717,437.7665988786995,46.18067651833471,56.355128205126675,147.47685528895283,-34.76659887869948
"P0025","Gilan",1399,33,365,307.89487179486196,216.7731447110383,399.0165988786856,46.18067651833344,57.105128205138044,148.2268552889617,-34.01659887868561
"P0025","Gilan",1399,34,424,337.8948717948574,246.77314471103483,429.01659887868,46.180676518332895,86.10512820514259,177.22685528896517,-5.016598878679986
"P0025","Gilan",1399,35,368,299.3948717948738,208.27314471104762,390.51659887869994,46.18067651833471,68.60512820512622,159.72685528895238,-22.516598878699938
"P0025","Gilan",1399,36,456,327.14487179485695,236.02314471103455,418.26659887867936,46.18067651833281,128.85512820514305,219.97685528896545,37.73340112132064
"P0025","Gilan",1399,37,381,306.8948717948615,215.77314471103801,398.016598878685,46.18067651833336,74.1051282051385,165.22685528896199,-17.016598878684988
"P0025","Gilan",1399,38,374,337.64487179485604,246.5231447110338,428.7665988786783,46.180676518332724,36.355128205143956,127.47685528896619,-54.76659887867828
